naam,code
Dapperbuurt Zuid,M29b
Oostpoort,M29c
Transvaalbuurt West,M30a
Transvaalbuurt Oost,M30b
Noordwestkwadrant Indische Buurt Noord,M31a
Noordwestkwadrant Indische Buurt Zuid,M31b
Zuidwestkwadrant Indische Buurt,M31c
Noordoostkwadrant Indische Buurt,M32a
Zuidoostkwadrant Indische Buurt,M32b
Zeeburgerdijk Oost,M32c
Flevopark,M32d
Oostelijke Handelskade,M33a
Rietlanden,M33b
Java-eiland,M33c
KNSM-eiland,M33d
Sporenburg,M33e
Borneo,M33f
Entrepot-Noordwest,M33g
Architectenbuurt,M33h
Bedrijvengebied Veelaan,M33i
Bedrijvengebied Cruquiusweg,M33j
Bedrijvengebied Zeeburgerkade,M33k
Zeeburgereiland Noordwest,M34a
Zeeburgereiland Zuidoost,M34c
Zeeburgereiland Zuidwest,M34d
Nieuwe Diep/Diemerpark,M34e
RI Oost terrein,M34f
Zeeburgereiland Noordoost,M34g
Steigereiland Noord,M35a
Steigereiland Zuid,M35b
Haveneiland Zuidwest/Rieteiland West,M35c
Haveneiland Noordwest,M35e
Haveneiland Noordoost,M35f
Strandeiland,M50a
Middeneiland Zuidoost,M50b
Middeneiland Noordoost,M50c
Middeneiland Zuidwest,M50d
Middeneiland Noordwest,M50e
Buiteneiland,M50f
Centrumeiland,M50g
Rieteiland Oost,M51a
Haveneiland Oost,M51b
Haveneiland Noord,M51c
De Eenhoorn,M55b
Julianapark,M55c
Don Bosco,M55d
Frankendael,M55e
Tuindorp Amstelstation,M55f
De Wetbuurt,M55g
Tuindorp Frankendael,M55h
Van der Kunbuurt,M55i
Linnaeusparkbuurt,M56a
Middenmeer Noord,M56b
Middenmeer Zuid,M56c
Sportpark Middenmeer Zuid,M56d
Sportpark Middenmeer Noord,M56e
Park De Meer,M56f
Sportpark Voorland,M56g
Science Park Noord,M56h
Science Park Zuid,M56i
Betondorp,M57a
Nieuwe Oosterbegraafplaats,M57b
Drieburg,M57c
Weespertrekvaart,M58b
Amstelglorie,M58e
Overamstel,M58f
Amstelkwartier Noord,M58g
De Omval,M58h
Amstelkwartier Zuid,M58i
Amstelkwartier West,M58j
Van der Pekbuurt,N60a
Bloemenbuurt Zuid,N60b
Bloemenbuurt Noord,N60c
IJplein e.o.,N61a
Vogelbuurt Zuid,N61b
Vogelbuurt Noord,N61c
Vliegenbos,N61d
Tuindorp Nieuwendam West,N62a
Tuindorp Nieuwendam Oost,N62b
Blauwe Zand,N63a
Buiksloterdijk West,N64a
Buiksloterdijk Oost,N64b
Nieuwendammerdijk West,N64c
Nieuwendammerdijk Oost,N64d
Nieuwendammerdijk Zuid,N64e
Tuindorp Oostzaan West,N65a
Tuindorp Oostzaan Oost,N65b
Terrasdorp,N65c
De Bongerd,N65d
Oostzanerdijk,N66b
Walvisbuurt,N66c
Twiske West,N66d
Noorder IJplas,N66e
Molenwijk,N66f
Circus/Kermisbuurt,N66g
Kadoelen,N67a
Twiske Oost,N67b
Baanakkerspark Noord,N68a
Baanakkerspark Zuid,N68b
Werengouw Midden,N68c
Markengouw Midden,N68d
Markengouw Zuid,N68e
Werengouw Zuid,N68f
Rode Kruisbuurt,N69a
Loenermark,N69c
Buikslotermeerplein,N69j
Plan van Gool,N69k
De Kleine Wereld,N69l
Buikslotermeer Noord,N69m
Banne Zuidwest,N70a
Banne Zuidoost,N70b
Banne Noordwest,N70c
Banne Noordoost,N70d
Buiksloterbreek,N70e
Marjoleinterrein,N70f
Papaverweg e.o.,N71c
Cornelis Douwesterrein,N71e
NDSM terrein,N71f
Buiksloterham,N71g
Overhoeks,N71h
Bedrijventerrein Hamerstraat,N72a
Zamenhofstraat e.o.,N72b
Bedrijventerrein Nieuwendammerdijk,N72c
Schellingwoude West,N73a
Schellingwoude Oost,N73b
Schellingwoude Noord,N73c
Durgerdam,N73d
Zwarte Gouw,N73e
Ransdorp,N73f
Holysloot,N73g
Zunderdorp,N73h
Noorderstrook West,N73i
Noorderstrook Oost,N73j
Nintemanterrein,N74a
Elzenhagen Zuid,N74b
Elzenhagen Noord,N74c
Hoofdcentrum Zuidoost,T92a
Amstel III deel A/B Noord,T92b
Amstel III deel C/D Noord,T92c
Amstel III deel A/B Zuid,T92d
Amstel III deel C/D Zuid,T92e
AMC,T92f
Hoge Dijk,T92g
Venserpolder West,T93a
Venserpolder Oost,T93b
D-buurt,T93c
F-buurt,T93d
Amsterdamse Poort,T93e
Hoptille,T93f
Rechte H-buurt,T93g
Hakfort/Huigenbos,T93h
Huntum,T93i
Vogeltjeswei,T93j
Nelson Mandelapark,T93k
E-buurt,T94a
G-buurt West,T94b
Bijlmermuseum Noord,T94c
Kortvoort,T94d
Kelbergen,T94e
K-buurt Midden,T94f
K-buurt Zuidoost,T94g
K-buurt Zuidwest,T94h
Grunder/Koningshoef,T94i
G-buurt Oost,T94j
Kantershof,T94k
Gooise Kant,T94l
G-buurt Noord,T94m
Bijlmermuseum Zuid,T94n
L-buurt,T95a
Gaasperpark,T95b
Gaasperplas,T95c
Holendrecht Noordwest,T96a
Reigersbos Noord,T96b
Holendrecht Oost,T96c
Gaasperdam Noord,T96d
Gaasperdam Zuid,T96e
Reigersbos Midden,T96f
Reigersbos Zuid,T96g
Gein Noordwest,T97a
Gein Zuidwest,T97b
Gein Noordoost,T97c
Gein Zuidoost,T97d
Dorp Driemond,T98a
Landelijk Gebied Driemond,T98b
