,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
130,52.3687,4.8772,Appeltjesmarkt,6,5,Evening
131,52.3631,4.8808,Leidsebosje,6,5,Evening
132,52.3628595,4.8833056,Max Euweplein,6,5,Evening
133,52.366338,4.88034,Raamplein,6,5,Evening
134,52.366831866,4.886996452,Koningsplein,6,5,Evening
111,52.3631,4.8808,Leidsebosje,6,2,Evening
85,52.3631,4.8808,Leidsebosje,5,4,Evening
86,52.3637,4.8822,Leidseplein,5,4,Evening
87,52.3687,4.8772,Appeltjesmarkt,5,4,Evening
88,52.3713,4.87531,Groenmarkt,5,4,Evening
89,52.3628595,4.8833056,Max Euweplein,5,4,Evening
90,52.3637,4.8822,Leidseplein,5,5,Evening
91,52.3687,4.8772,Appeltjesmarkt,5,5,Evening
92,52.3631,4.8808,Leidsebosje,5,5,Evening
93,52.3628595,4.8833056,Max Euweplein,5,5,Evening
94,52.366338,4.88034,Raamplein,5,5,Evening
120,52.3628595,4.8833056,Max Euweplein,6,3,Evening
81,52.3637,4.8822,Leidseplein,5,3,Evening
82,52.3687,4.8772,Appeltjesmarkt,5,3,Evening
79,52.3713,4.87531,Groenmarkt,5,2,Evening
80,52.3631,4.8808,Leidsebosje,5,3,Evening
327,52.3631,4.8808,Leidsebosje,6,2,Morning
348,52.3628595,4.8833056,Max Euweplein,6,3,Morning
349,52.3713,4.87531,Groenmarkt,6,3,Morning
350,52.3612,4.908,Weesperplein,6,3,Morning
178,52.3687,4.8772,Appeltjesmarkt,2,5,Morning
332,52.354702,4.85755,Vondelpark,6,2,Morning
165,52.3631,4.8808,Leidsebosje,2,3,Morning
160,52.3637,4.8822,Leidseplein,2,2,Morning
150,52.3631,4.8808,Leidsebosje,1,3,Morning
385,52.366338,4.88034,Raamplein,6,5,Morning
347,52.3687,4.8772,Appeltjesmarkt,6,3,Morning
183,52.3631,4.8808,Leidsebosje,3,2,Morning
286,52.3713,4.87531,Groenmarkt,5,3,Morning
285,52.3628595,4.8833056,Max Euweplein,5,3,Morning
284,52.3687,4.8772,Appeltjesmarkt,5,3,Morning
283,52.3637,4.8822,Leidseplein,5,3,Morning
282,52.3631,4.8808,Leidsebosje,5,3,Morning
184,52.3637,4.8822,Leidseplein,3,2,Morning
185,52.3612,4.908,Weesperplein,3,2,Morning
386,52.366831866,4.886996452,Koningsplein,6,5,Morning
297,52.3631,4.8808,Leidsebosje,5,4,Morning
298,52.3637,4.8822,Leidseplein,5,4,Morning
299,52.3687,4.8772,Appeltjesmarkt,5,4,Morning
166,52.3637,4.8822,Leidseplein,2,3,Morning
159,52.3631,4.8808,Leidsebosje,2,2,Morning
329,52.3612,4.908,Weesperplein,6,2,Morning
156,52.3637,4.8822,Leidseplein,1,5,Morning
171,52.3631,4.8808,Leidsebosje,2,4,Morning
330,52.3687,4.8772,Appeltjesmarkt,6,2,Morning
172,52.3637,4.8822,Leidseplein,2,4,Morning
316,52.366338,4.88034,Raamplein,5,5,Morning
315,52.3628595,4.8833056,Max Euweplein,5,5,Morning
314,52.3631,4.8808,Leidsebosje,5,5,Morning
313,52.3687,4.8772,Appeltjesmarkt,5,5,Morning
312,52.3637,4.8822,Leidseplein,5,5,Morning
345,52.3631,4.8808,Leidsebosje,6,3,Morning
346,52.3637,4.8822,Leidseplein,6,3,Morning
331,52.3713,4.87531,Groenmarkt,6,2,Morning
153,52.3631,4.8808,Leidsebosje,1,4,Morning
177,52.3637,4.8822,Leidseplein,2,5,Morning
301,52.3628595,4.8833056,Max Euweplein,5,4,Morning
300,52.3713,4.87531,Groenmarkt,5,4,Morning
