origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.34122656_4.96464743,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.35790106_4.8859532,52.38081_4.8752065,370,E14,Staatsliedenbuurt
52.30697114_5.01931383,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.33239698_4.94041243,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.37256242_4.87565532,52.38081_4.8752065,182,E14,Staatsliedenbuurt
52.40643251_4.88930498,52.38081_4.8752065,877,E14,Staatsliedenbuurt
52.37010431_4.90925773,52.38081_4.8752065,424,E14,Staatsliedenbuurt
52.36636082_4.80218278,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.34879041_4.84370537,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.38459839_4.86331622,52.38081_4.8752065,214,E14,Staatsliedenbuurt
52.36045023_4.92916923,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.348825_4.9148372,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.39622675_4.95481232,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.30187026_4.88177715,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.30742444_4.97326246,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.34122656_4.96464743,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.35790106_4.8859532,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.30697114_5.01931383,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.33239698_4.94041243,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.37256242_4.87565532,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.40643251_4.88930498,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.37010431_4.90925773,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.36636082_4.80218278,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.34879041_4.84370537,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.38459839_4.86331622,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.36045023_4.92916923,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.348825_4.9148372,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.39622675_4.95481232,52.4114805_4.807314,99999,B10,Westelijk Havengebied
52.30187026_4.88177715,52.3937845_4.8803175,99999,E12,Houthavens
52.30742444_4.97326246,52.3937845_4.8803175,99999,E12,Houthavens
52.34122656_4.96464743,52.3937845_4.8803175,99999,E12,Houthavens
52.35790106_4.8859532,52.3937845_4.8803175,99999,E12,Houthavens
52.30697114_5.01931383,52.3937845_4.8803175,99999,E12,Houthavens
52.33239698_4.94041243,52.3937845_4.8803175,99999,E12,Houthavens
52.37256242_4.87565532,52.3937845_4.8803175,352,E12,Houthavens
52.40643251_4.88930498,52.3937845_4.8803175,794,E12,Houthavens
52.37010431_4.90925773,52.3937845_4.8803175,402,E12,Houthavens
52.36636082_4.80218278,52.3937845_4.8803175,99999,E12,Houthavens
52.34879041_4.84370537,52.3937845_4.8803175,99999,E12,Houthavens
52.38459839_4.86331622,52.3937845_4.8803175,304,E12,Houthavens
52.36045023_4.92916923,52.3937845_4.8803175,99999,E12,Houthavens
52.348825_4.9148372,52.3937845_4.8803175,99999,E12,Houthavens
52.39622675_4.95481232,52.3937845_4.8803175,99999,E12,Houthavens
52.30187026_4.88177715,52.3790425_4.8656735,99999,E15,Centrale Markt
52.30742444_4.97326246,52.3790425_4.8656735,99999,E15,Centrale Markt
52.34122656_4.96464743,52.3790425_4.8656735,99999,E15,Centrale Markt
52.35790106_4.8859532,52.3790425_4.8656735,354,E15,Centrale Markt
52.30697114_5.01931383,52.3790425_4.8656735,99999,E15,Centrale Markt
52.33239698_4.94041243,52.3790425_4.8656735,99999,E15,Centrale Markt
52.37256242_4.87565532,52.3790425_4.8656735,166,E15,Centrale Markt
52.40643251_4.88930498,52.3790425_4.8656735,852,E15,Centrale Markt
52.37010431_4.90925773,52.3790425_4.8656735,506,E15,Centrale Markt
52.36636082_4.80218278,52.3790425_4.8656735,99999,E15,Centrale Markt
52.34879041_4.84370537,52.3790425_4.8656735,99999,E15,Centrale Markt
52.38459839_4.86331622,52.3790425_4.8656735,174,E15,Centrale Markt
52.36045023_4.92916923,52.3790425_4.8656735,99999,E15,Centrale Markt
52.348825_4.9148372,52.3790425_4.8656735,99999,E15,Centrale Markt
52.39622675_4.95481232,52.3790425_4.8656735,99999,E15,Centrale Markt
52.30187026_4.88177715,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.30742444_4.97326246,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.34122656_4.96464743,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.35790106_4.8859532,52.3767595_4.873115,364,E16,Frederik Hendrikbuurt
52.30697114_5.01931383,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.33239698_4.94041243,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.37256242_4.87565532,52.3767595_4.873115,176,E16,Frederik Hendrikbuurt
52.40643251_4.88930498,52.3767595_4.873115,871,E16,Frederik Hendrikbuurt
52.37010431_4.90925773,52.3767595_4.873115,418,E16,Frederik Hendrikbuurt
52.36636082_4.80218278,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.34879041_4.84370537,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.38459839_4.86331622,52.3767595_4.873115,236,E16,Frederik Hendrikbuurt
52.36045023_4.92916923,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.348825_4.9148372,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.39622675_4.95481232,52.3767595_4.873115,99999,E16,Frederik Hendrikbuurt
52.30187026_4.88177715,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.30742444_4.97326246,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.34122656_4.96464743,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.35790106_4.8859532,52.3701305_4.8721075,234,E17,Da Costabuurt
52.30697114_5.01931383,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.33239698_4.94041243,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.37256242_4.87565532,52.3701305_4.8721075,88,E17,Da Costabuurt
52.40643251_4.88930498,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.37010431_4.90925773,52.3701305_4.8721075,469,E17,Da Costabuurt
52.36636082_4.80218278,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.34879041_4.84370537,52.3701305_4.8721075,490,E17,Da Costabuurt
52.38459839_4.86331622,52.3701305_4.8721075,324,E17,Da Costabuurt
52.36045023_4.92916923,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.348825_4.9148372,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.39622675_4.95481232,52.3701305_4.8721075,99999,E17,Da Costabuurt
52.30187026_4.88177715,52.368099_4.86544,99999,E18,Kinkerbuurt
52.30742444_4.97326246,52.368099_4.86544,99999,E18,Kinkerbuurt
52.34122656_4.96464743,52.368099_4.86544,99999,E18,Kinkerbuurt
52.35790106_4.8859532,52.368099_4.86544,306,E18,Kinkerbuurt
52.30697114_5.01931383,52.368099_4.86544,99999,E18,Kinkerbuurt
52.33239698_4.94041243,52.368099_4.86544,99999,E18,Kinkerbuurt
52.37256242_4.87565532,52.368099_4.86544,140,E18,Kinkerbuurt
52.40643251_4.88930498,52.368099_4.86544,99999,E18,Kinkerbuurt
52.37010431_4.90925773,52.368099_4.86544,521,E18,Kinkerbuurt
52.36636082_4.80218278,52.368099_4.86544,99999,E18,Kinkerbuurt
52.34879041_4.84370537,52.368099_4.86544,483,E18,Kinkerbuurt
52.38459839_4.86331622,52.368099_4.86544,334,E18,Kinkerbuurt
52.36045023_4.92916923,52.368099_4.86544,99999,E18,Kinkerbuurt
52.348825_4.9148372,52.368099_4.86544,99999,E18,Kinkerbuurt
52.39622675_4.95481232,52.368099_4.86544,99999,E18,Kinkerbuurt
52.30187026_4.88177715,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.30742444_4.97326246,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.34122656_4.96464743,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.35790106_4.8859532,52.365027_4.8674875,269,E19,Van Lennepbuurt
52.30697114_5.01931383,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.33239698_4.94041243,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.37256242_4.87565532,52.365027_4.8674875,187,E19,Van Lennepbuurt
52.40643251_4.88930498,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.37010431_4.90925773,52.365027_4.8674875,510,E19,Van Lennepbuurt
52.36636082_4.80218278,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.34879041_4.84370537,52.365027_4.8674875,438,E19,Van Lennepbuurt
52.38459839_4.86331622,52.365027_4.8674875,423,E19,Van Lennepbuurt
52.36045023_4.92916923,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.348825_4.9148372,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.39622675_4.95481232,52.365027_4.8674875,99999,E19,Van Lennepbuurt
52.30187026_4.88177715,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.30742444_4.97326246,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.34122656_4.96464743,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.35790106_4.8859532,52.3635335_4.8715505,232,E20,Helmersbuurt
52.30697114_5.01931383,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.33239698_4.94041243,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.37256242_4.87565532,52.3635335_4.8715505,211,E20,Helmersbuurt
52.40643251_4.88930498,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.37010431_4.90925773,52.3635335_4.8715505,473,E20,Helmersbuurt
52.36636082_4.80218278,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.34879041_4.84370537,52.3635335_4.8715505,436,E20,Helmersbuurt
52.38459839_4.86331622,52.3635335_4.8715505,447,E20,Helmersbuurt
52.36045023_4.92916923,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.348825_4.9148372,52.3635335_4.8715505,466,E20,Helmersbuurt
52.39622675_4.95481232,52.3635335_4.8715505,99999,E20,Helmersbuurt
52.30187026_4.88177715,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.30742444_4.97326246,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.34122656_4.96464743,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.35790106_4.8859532,52.3597385_4.8598305,321,E21,Overtoomse Sluis
52.30697114_5.01931383,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.33239698_4.94041243,52.3597385_4.8598305,99999,E21,Overtoomse Sluis
52.37256242_4.87565532,52.3597385_4.8598305,311,E21,Overtoomse Sluis
