,index,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
150,0,52.3631,4.8808,Leidsebosje,5,3,Evening
151,1,52.3637,4.8822,Leidseplein,5,3,Evening
152,2,52.3687,4.8772,Appeltjesmarkt,5,3,Evening
153,3,52.3628595,4.8833056,Max Euweplein,5,3,Evening
154,4,52.3713,4.87531,Groenmarkt,5,3,Evening
155,0,52.3631,4.8808,Leidsebosje,5,3,Night
156,1,52.3637,4.8822,Leidseplein,5,3,Night
157,2,52.3687,4.8772,Appeltjesmarkt,5,3,Night
158,3,52.3628595,4.8833056,Max Euweplein,5,3,Night
159,4,52.3713,4.87531,Groenmarkt,5,3,Night
160,0,52.3631,4.8808,Leidsebosje,5,4,Morning
161,1,52.3637,4.8822,Leidseplein,5,4,Morning
162,2,52.3687,4.8772,Appeltjesmarkt,5,4,Morning
163,3,52.3713,4.87531,Groenmarkt,5,4,Morning
164,4,52.3628595,4.8833056,Max Euweplein,5,4,Morning
165,0,52.3631,4.8808,Leidsebosje,5,4,Afternoon
166,1,52.3637,4.8822,Leidseplein,5,4,Afternoon
167,2,52.3687,4.8772,Appeltjesmarkt,5,4,Afternoon
168,3,52.3713,4.87531,Groenmarkt,5,4,Afternoon
169,4,52.3628595,4.8833056,Max Euweplein,5,4,Afternoon
170,0,52.3631,4.8808,Leidsebosje,5,4,Evening
171,1,52.3637,4.8822,Leidseplein,5,4,Evening
172,2,52.3687,4.8772,Appeltjesmarkt,5,4,Evening
173,3,52.3713,4.87531,Groenmarkt,5,4,Evening
174,4,52.3628595,4.8833056,Max Euweplein,5,4,Evening
175,0,52.3631,4.8808,Leidsebosje,5,4,Night
176,1,52.3637,4.8822,Leidseplein,5,4,Night
177,2,52.3687,4.8772,Appeltjesmarkt,5,4,Night
178,3,52.3713,4.87531,Groenmarkt,5,4,Night
179,4,52.3628595,4.8833056,Max Euweplein,5,4,Night
180,0,52.3637,4.8822,Leidseplein,5,5,Morning
181,1,52.3687,4.8772,Appeltjesmarkt,5,5,Morning
182,2,52.3631,4.8808,Leidsebosje,5,5,Morning
183,3,52.3628595,4.8833056,Max Euweplein,5,5,Morning
184,4,52.366338,4.88034,Raamplein,5,5,Morning
185,0,52.3637,4.8822,Leidseplein,5,5,Afternoon
186,1,52.3687,4.8772,Appeltjesmarkt,5,5,Afternoon
187,2,52.3631,4.8808,Leidsebosje,5,5,Afternoon
188,3,52.3628595,4.8833056,Max Euweplein,5,5,Afternoon
189,4,52.366338,4.88034,Raamplein,5,5,Afternoon
190,0,52.3637,4.8822,Leidseplein,5,5,Evening
191,1,52.3687,4.8772,Appeltjesmarkt,5,5,Evening
192,2,52.3631,4.8808,Leidsebosje,5,5,Evening
193,3,52.3628595,4.8833056,Max Euweplein,5,5,Evening
194,4,52.366338,4.88034,Raamplein,5,5,Evening
195,0,52.3637,4.8822,Leidseplein,5,5,Night
196,1,52.3687,4.8772,Appeltjesmarkt,5,5,Night
197,2,52.3631,4.8808,Leidsebosje,5,5,Night
