buurt,prioriteit,dagdeel,uur,code,LAT,LNG
Burgwallen-Nieuwe Zijde,3,Middag,1,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,3,Nacht,1,A01,52.374935,4.897118
Burgwallen-Oude Zijde,1,Avond,159,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Middag,112,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Nacht,94,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Ochtend,140,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Avond,12,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Middag,3,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Nacht,29,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Ochtend,7,A00,52.372295,4.897634
Burgwallen-Oude Zijde,3,Avond,1,A00,52.372295,4.897634
Burgwallen-Oude Zijde,3,Nacht,1,A00,52.372295,4.897634
Buytenstee,1,Avond,8,,,
Buytenstee,1,Middag,7,,,
Buytenstee,1,Nacht,5,,,
Buytenstee,1,Ochtend,5,,,
Buytenstee,2,Avond,4,,,
Buytenstee,2,Middag,3,,,
Buytenstee,2,Ochtend,1,,,
Centrale Markt,1,Avond,25,E15,52.3790425,4.8656735
Centrale Markt,1,Middag,30,E15,52.3790425,4.8656735
Centrale Markt,1,Nacht,12,E15,52.3790425,4.8656735
Centrale Markt,1,Ochtend,19,E15,52.3790425,4.8656735
Centrale Markt,2,Avond,4,E15,52.3790425,4.8656735
Centrale Markt,2,Middag,6,E15,52.3790425,4.8656735
Centrale Markt,2,Nacht,4,E15,52.3790425,4.8656735
Centrale Markt,2,Ochtend,3,E15,52.3790425,4.8656735
Centrale Markt,3,Middag,1,E15,52.3790425,4.8656735
Centrale Markt,3,Ochtend,1,E15,52.3790425,4.8656735
Centrum,1,Avond,19,T93,52.315318,4.954521
Centrum,1,Middag,22,T93,52.315318,4.954521
Centrum,1,Nacht,12,T93,52.315318,4.954521
Centrum,1,Ochtend,11,T93,52.315318,4.954521
Centrum,2,Avond,2,T93,52.315318,4.954521
Centrum,2,Middag,3,T93,52.315318,4.954521
Centrum,2,Nacht,2,T93,52.315318,4.954521
Centrum-Oost,1,Avond,5,,,
Centrum-Oost,1,Middag,5,,,
Centrum-Oost,1,Nacht,6,,,
Centrum-Oost,1,Ochtend,4,,,
Centrum-Oost,2,Avond,5,,,
Centrum-Oost,2,Middag,4,,,
Centrum-Oost,2,Nacht,5,,,
Centrum-West,1,Avond,11,,,
Centrum-West,1,Middag,10,,,
Centrum-West,1,Nacht,4,,,
Centrum-West,1,Ochtend,8,,,
Centrum-West,2,Avond,4,,,
Centrum-West,2,Middag,2,,,
Centrum-West,2,Nacht,3,,,
Centrum-West,2,Ochtend,2,,,
Centrum-West,3,Avond,2,,,
Da Costabuurt,1,Avond,61,E17,52.3701305,4.8721075
Da Costabuurt,1,Middag,46,E17,52.3701305,4.8721075
Da Costabuurt,1,Nacht,26,E17,52.3701305,4.8721075
Da Costabuurt,1,Ochtend,23,E17,52.3701305,4.8721075
Da Costabuurt,2,Avond,10,E17,52.3701305,4.8721075
Da Costabuurt,2,Middag,11,E17,52.3701305,4.8721075
Da Costabuurt,2,Nacht,11,E17,52.3701305,4.8721075
Da Costabuurt,2,Ochtend,8,E17,52.3701305,4.8721075
Dapperbuurt,1,Avond,106,M29,52.3609545,4.929872
Dapperbuurt,1,Middag,95,M29,52.3609545,4.929872
Dapperbuurt,1,Nacht,52,M29,52.3609545,4.929872
Dapperbuurt,1,Ochtend,61,M29,52.3609545,4.929872
Dapperbuurt,2,Avond,14,M29,52.3609545,4.929872
Dapperbuurt,2,Middag,18,M29,52.3609545,4.929872
Dapperbuurt,2,Nacht,13,M29,52.3609545,4.929872
Dapperbuurt,2,Ochtend,14,M29,52.3609545,4.929872
De Kolenkit,1,Avond,111,E39,52.3786475,4.8413775
De Kolenkit,1,Middag,98,E39,52.3786475,4.8413775
De Kolenkit,1,Nacht,65,E39,52.3786475,4.8413775
De Kolenkit,1,Ochtend,42,E39,52.3786475,4.8413775
De Kolenkit,2,Avond,23,E39,52.3786475,4.8413775
De Kolenkit,2,Middag,13,E39,52.3786475,4.8413775
De Kolenkit,2,Nacht,9,E39,52.3786475,4.8413775
De Kolenkit,2,Ochtend,7,E39,52.3786475,4.8413775
De Kolenkit,3,Avond,1,E39,52.3786475,4.8413775
De Kolenkit,3,Middag,1,E39,52.3786475,4.8413775
De Kolenkit,3,Nacht,1,E39,52.3786475,4.8413775
De Krommert,1,Avond,82,,,
De Krommert,1,Middag,85,,,
De Krommert,1,Nacht,56,,,
De Krommert,1,Ochtend,33,,,
De Krommert,2,Avond,24,,,
De Krommert,2,Middag,18,,,
De Krommert,2,Nacht,12,,,
De Krommert,2,Ochtend,4,,,
De Omval,1,Avond,345,,,
De Omval,1,Middag,525,,,
De Omval,1,Nacht,140,,,
De Omval,1,Ochtend,400,,,
De Omval,2,Avond,14,,,
De Omval,2,Middag,10,,,
De Omval,2,Nacht,11,,,
De Omval,2,Ochtend,9,,,
De Punt,1,Avond,47,F83,52.3576805,4.784397
De Punt,1,Middag,60,F83,52.3576805,4.784397
De Punt,1,Nacht,37,F83,52.3576805,4.784397
De Punt,1,Ochtend,27,F83,52.3576805,4.784397
