wijk,prioriteit,dagdeel,count,code,LAT,LNG
Burgwallen-Oude Zijde,3,Nacht,1,A00,52.372295,4.897634
Centrale Markt,1,Avond,25,E15,52.3790425,4.8656735
Centrale Markt,1,Middag,30,E15,52.3790425,4.8656735
Centrale Markt,1,Nacht,12,E15,52.3790425,4.8656735
Centrale Markt,1,Ochtend,19,E15,52.3790425,4.8656735
Centrale Markt,2,Avond,4,E15,52.3790425,4.8656735
Centrale Markt,2,Middag,6,E15,52.3790425,4.8656735
Centrale Markt,2,Nacht,4,E15,52.3790425,4.8656735
Centrale Markt,2,Ochtend,3,E15,52.3790425,4.8656735
Centrale Markt,3,Middag,1,E15,52.3790425,4.8656735
Centrale Markt,3,Ochtend,1,E15,52.3790425,4.8656735
Centrum,1,Avond,19,T93,52.315318,4.954521
Centrum,1,Middag,22,T93,52.315318,4.954521
Centrum,1,Nacht,12,T93,52.315318,4.954521
Centrum,1,Ochtend,11,T93,52.315318,4.954521
Centrum,2,Avond,2,T93,52.315318,4.954521
Centrum,2,Middag,3,T93,52.315318,4.954521
Centrum,2,Nacht,2,T93,52.315318,4.954521
Da Costabuurt,1,Avond,61,E17,52.3701305,4.8721075
Da Costabuurt,1,Middag,46,E17,52.3701305,4.8721075
Da Costabuurt,1,Nacht,26,E17,52.3701305,4.8721075
Da Costabuurt,1,Ochtend,23,E17,52.3701305,4.8721075
Da Costabuurt,2,Avond,10,E17,52.3701305,4.8721075
Da Costabuurt,2,Middag,11,E17,52.3701305,4.8721075
Da Costabuurt,2,Nacht,11,E17,52.3701305,4.8721075
Da Costabuurt,2,Ochtend,8,E17,52.3701305,4.8721075
Dapperbuurt,1,Avond,106,M29,52.3609545,4.929872
Dapperbuurt,1,Middag,95,M29,52.3609545,4.929872
Dapperbuurt,1,Nacht,52,M29,52.3609545,4.929872
Dapperbuurt,1,Ochtend,61,M29,52.3609545,4.929872
Dapperbuurt,2,Avond,14,M29,52.3609545,4.929872
Dapperbuurt,2,Middag,18,M29,52.3609545,4.929872
Dapperbuurt,2,Nacht,13,M29,52.3609545,4.929872
Dapperbuurt,2,Ochtend,14,M29,52.3609545,4.929872
De Kolenkit,1,Avond,111,E39,52.3786475,4.8413775
De Kolenkit,1,Middag,98,E39,52.3786475,4.8413775
De Kolenkit,1,Nacht,65,E39,52.3786475,4.8413775
De Kolenkit,1,Ochtend,42,E39,52.3786475,4.8413775
De Kolenkit,2,Avond,23,E39,52.3786475,4.8413775
De Kolenkit,2,Middag,13,E39,52.3786475,4.8413775
De Kolenkit,2,Nacht,9,E39,52.3786475,4.8413775
De Kolenkit,2,Ochtend,7,E39,52.3786475,4.8413775
De Kolenkit,3,Avond,1,E39,52.3786475,4.8413775
De Kolenkit,3,Middag,1,E39,52.3786475,4.8413775
De Kolenkit,3,Nacht,1,E39,52.3786475,4.8413775
Omval/Overamstel,1,Avond,345,M58,52.332379,4.918914
Omval/Overamstel,1,Middag,525,M58,52.332379,4.918914
Omval/Overamstel,1,Nacht,140,M58,52.332379,4.918914
Omval/Overamstel,1,Ochtend,400,M58,52.332379,4.918914
Omval/Overamstel,2,Avond,14,M58,52.332379,4.918914
